company,ticker,published_at,period,document_type,document_family,source_file,file_size_bytes,has_tables,has_guidance_terms,has_product_terms,has_numeric_content
Home Depot,HD,2015-12-08,FY 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-12-08__hd-us-20151208-call-qna__1515803.md,43885,false,true,true,true
Home Depot,HD,2016-02-23,FY 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-02-23__hd-us-20160223-call-pres-2__1515272.md,21300,false,true,true,true
Home Depot,HD,2016-02-23,Q4 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-02-23__hd-us-20160223-call-qna__1515278.md,31749,false,true,true,true
Home Depot,HD,2016-05-17,Q1 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-05-17__hd-us-20160517-call-pres-2__1482733.md,17637,false,true,true,true
Home Depot,HD,2016-05-17,Q1 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-05-17__hd-us-20160517-call-qna__1482735.md,35682,false,true,true,true
Home Depot,HD,2016-05-19,FY 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-05-19__hd-us-20160519-call-agm-pres-2__1482616.md,23750,false,true,true,true
Home Depot,HD,2016-05-19,"FY 2015, FY 2016 outlook",CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-05-19__hd-us-20160519-call-agm-pres-3__1520115.md,29812,false,true,true,true
Home Depot,HD,2016-05-19,Q1 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-05-19__hd-us-20160519-call-agm-qna__1482619.md,6269,false,false,true,true
Home Depot,HD,2016-08-16,Q2 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-08-16__hd-us-20160816-call-pres-2__1481651.md,18351,false,true,true,true
Home Depot,HD,2016-08-16,Q2 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-08-16__hd-us-20160816-call-qna__1481652.md,33543,false,true,true,true
Home Depot,HD,2016-11-15,Q3 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-11-15__hd-us-20161115-call-pres-2__1480917.md,17170,false,true,true,true
Home Depot,HD,2016-11-15,Q3 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2016-11-15__hd-us-20161115-call-qna__1480918.md,37293,false,true,true,true
Home Depot,HD,2017-02-21,FY 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-02-21__hd-us-20170221-call-pres-2__1480454.md,20792,false,true,true,true
Home Depot,HD,2017-02-21,FY 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-02-21__hd-us-20170221-call-qna__1480455.md,27147,false,true,true,true
Home Depot,HD,2017-05-16,Q1 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-05-16__hd-us-20170516-call-pres-3__1479694.md,16530,false,true,true,true
Home Depot,HD,2017-05-16,Q1 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-05-16__hd-us-20170516-call-qna__1479697.md,34037,false,true,true,true
Home Depot,HD,2017-05-18,FY 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-05-18__hd-us-20170518-call-agm-pres-2__1479921.md,27861,false,true,true,true
Home Depot,HD,2017-05-18,FY 2016,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-05-18__hd-us-20170518-call-agm-pres-3__1483224.md,37316,false,true,true,true
Home Depot,HD,2017-05-18,FY 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-05-18__hd-us-20170518-call-agm-qna__1479922.md,9660,false,false,true,true
Home Depot,HD,2017-08-15,Q2 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-08-15__hd-us-20170815-call-pres-3__1478953.md,18706,false,true,true,true
Home Depot,HD,2017-08-15,Q2 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-08-15__hd-us-20170815-call-qna__1478958.md,35654,false,true,true,true
Home Depot,HD,2017-11-14,Q3 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-11-14__hd-us-20171114-call-pres-2__1478093.md,16497,false,true,true,true
Home Depot,HD,2017-11-14,Q3 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-11-14__hd-us-20171114-call-qna__1478098.md,36897,false,true,true,true
Home Depot,HD,2017-12-06,"FY 2017, FY 2018, FY 2020",CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-12-06__hd-us-20171206-call-pres-2__1477918.md,106918,false,true,true,true
Home Depot,HD,2017-12-06,FY 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-12-06__hd-us-20171206-call-pres__437701.md,186966,false,true,true,true
Home Depot,HD,2017-12-06,FY 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2017-12-06__hd-us-20171206-call-qna__1477919.md,50483,false,true,true,true
Home Depot,HD,2018-02-20,FY 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-02-20__hd-us-20180220-call-pres-3__1477390.md,22049,false,true,true,true
Home Depot,HD,2018-02-20,Q4 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-02-20__hd-us-20180220-call-qna__1477395.md,30059,false,true,true,true
Home Depot,HD,2018-05-15,Q1 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-05-15__hd-us-20180515-call-pres-2__1035981.md,18108,false,true,true,true
Home Depot,HD,2018-05-15,Q1 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-05-15__hd-us-20180515-call-qna__1035982.md,40075,false,true,true,true
Home Depot,HD,2018-05-17,FY 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-05-17__hd-us-20180517-call-agm-pres-2__1475381.md,25736,false,true,true,true
Home Depot,HD,2018-05-17,FY 2017,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-05-17__hd-us-20180517-call-agm-pres__437695.md,53650,false,true,true,true
Home Depot,HD,2018-05-17,FY 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-05-17__hd-us-20180517-call-agm-qna__1475388.md,30320,false,true,true,true
Home Depot,HD,2018-08-14,Q2 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-08-14__hd-us-20180814-call-pres-2__1470677.md,19198,false,true,true,true
Home Depot,HD,2018-08-14,Q2 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-08-14__hd-us-20180814-call-qna__1470684.md,36432,false,true,true,true
Home Depot,HD,2018-11-13,Q3 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-11-13__hd-us-20181113-call-pres-2__1442825.md,19237,false,true,true,true
Home Depot,HD,2018-11-13,Q3 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2018-11-13__hd-us-20181113-call-qna__1442826.md,34334,false,true,true,true
Home Depot,HD,2019-02-26,FY 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-02-26__hd-us-20190226-call-pres-2__1407778.md,27579,false,true,true,true
Home Depot,HD,2019-02-26,FY 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-02-26__hd-us-20190226-call-qna__1407779.md,25395,false,true,true,true
Home Depot,HD,2019-05-21,Q1 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-05-21__hd-us-20190521-call-pres-2__1384062.md,22221,false,true,true,true
Home Depot,HD,2019-05-21,Q1 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-05-21__hd-us-20190521-call-qna__1384065.md,32006,false,true,true,true
Home Depot,HD,2019-05-23,FY 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-05-23__hd-us-20190523-call-agm-pres-2__1383893.md,26073,false,true,true,true
Home Depot,HD,2019-05-23,FY 2018,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-05-23__hd-us-20190523-call-agm-pres__437685.md,45893,false,true,true,true
Home Depot,HD,2019-05-23,Q2 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-05-23__hd-us-20190523-call-agm-qna__1383896.md,20666,false,false,true,true
Home Depot,HD,2019-08-20,Q2 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-08-20__hd-us-20190820-call-pres-2__1373105.md,21108,false,true,true,true
Home Depot,HD,2019-08-20,Q2 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-08-20__hd-us-20190820-call-qna__1373109.md,35146,false,true,true,true
Home Depot,HD,2019-11-19,Q3 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-11-19__hd-us-20191119-call-pres-2__1350991.md,18425,false,true,true,true
Home Depot,HD,2019-11-19,Q3 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-11-19__hd-us-20191119-call-qna__1350993.md,31801,false,true,true,true
Home Depot,HD,2019-12-11,FY 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-12-11__hd-us-20191211-call-pres-2__1341973.md,24980,false,true,true,true
Home Depot,HD,2019-12-11,FY 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-12-11__hd-us-20191211-call-pres__437680.md,97940,false,true,true,true
Home Depot,HD,2019-12-11,FY 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2019-12-11__hd-us-20191211-call-qna__1341978.md,72573,false,true,true,true
Home Depot,HD,2020-02-25,FY 2019,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-02-25__hd-us-20200225-call-pres-2__1304186.md,22221,false,true,true,true
Home Depot,HD,2020-02-25,Q4 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-02-25__hd-us-20200225-call-qna__1304192.md,31079,false,true,true,true
Home Depot,HD,2020-05-19,Q1 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-05-19__hd-us-20200519-call-pres-2__1143385.md,25970,false,true,true,true
Home Depot,HD,2020-05-19,Q1 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-05-19__hd-us-20200519-call-qna__1143386.md,25569,false,true,true,true
Home Depot,HD,2020-05-21,Q1 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-05-21__hd-us-20200521-call-agm-pres-2__1143169.md,34566,false,true,true,true
Home Depot,HD,2020-05-21,Q1 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-05-21__hd-us-20200521-call-agm-pres__437672.md,49725,false,true,true,true
Home Depot,HD,2020-05-21,FY 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-05-21__hd-us-20200521-call-agm-qna__1143174.md,15826,false,false,true,true
Home Depot,HD,2020-08-17,Q2 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-08-17__hd-us-20200817-call-pres__38067.md,21981,false,true,true,true
Home Depot,HD,2020-08-17,Q2 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-08-17__hd-us-20200817-call-qna__38083.md,27910,false,true,true,true
Home Depot,HD,2020-11-17,Q3 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-11-17__hd-us-20201117-call-pres__38085.md,24814,false,true,true,true
Home Depot,HD,2020-11-17,Q3 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2020-11-17__hd-us-20201117-call-qna__38099.md,28963,false,true,true,true
Home Depot,HD,2021-02-23,FY 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-02-23__hd-us-20210223-call-pres__38066.md,30164,false,true,true,true
Home Depot,HD,2021-02-23,FY 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-02-23__hd-us-20210223-call-qna__38081.md,24673,false,true,true,true
Home Depot,HD,2021-05-18,Q1 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-05-18__hd-us-20210518-call-pres__38040.md,18548,false,true,true,true
Home Depot,HD,2021-05-18,Q1 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-05-18__hd-us-20210518-call-qna__38056.md,32244,false,true,true,true
Home Depot,HD,2021-05-20,Q1 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-05-20__hd-us-20210520-call-agm-pres__38068.md,28034,false,true,true,true
Home Depot,HD,2021-05-20,Q1 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-05-20__hd-us-20210520-call-agm-qna__38082.md,22862,false,true,true,true
Home Depot,HD,2021-08-17,Q2 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-08-17__hd-us-20210817-call-pres__38049.md,18511,false,true,true,true
Home Depot,HD,2021-08-17,Q2 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-08-17__hd-us-20210817-call-qna__38065.md,34838,false,true,true,true
Home Depot,HD,2021-09-09,FY 2020,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-09-09__hd-us-20210909-call-pres__38054.md,15917,false,false,true,true
Home Depot,HD,2021-09-09,Q3 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-09-09__hd-us-20210909-call-qna__38073.md,24861,false,true,true,true
Home Depot,HD,2021-11-16,Q3 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-11-16__hd-us-20211116-call-pres__38052.md,17699,false,true,true,true
Home Depot,HD,2021-11-16,Q3 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2021-11-16__hd-us-20211116-call-qna__38071.md,37020,false,true,true,true
Home Depot,HD,2022-02-22,FY 2021,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-02-22__hd-us-20220222-call-pres__38079.md,29430,false,true,true,true
Home Depot,HD,2022-02-22,FY 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-02-22__hd-us-20220222-call-qna__38096.md,47818,false,true,true,true
Home Depot,HD,2022-05-17,Q1 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-05-17__hd-us-20220517-call-pres__38089.md,19282,false,true,true,true
Home Depot,HD,2022-05-17,Q1 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-05-17__hd-us-20220517-call-qna__38105.md,34047,false,true,true,true
Home Depot,HD,2022-08-16,Q2 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-08-16__hd-us-20220816-call-pres__38058.md,16052,false,true,true,true
Home Depot,HD,2022-08-16,Q2 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-08-16__hd-us-20220816-call-qna__38078.md,39959,false,true,true,true
Home Depot,HD,2022-11-15,Q3 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-11-15__hd-us-20221115-call-pres__38094.md,17500,false,true,true,true
Home Depot,HD,2022-11-15,Q3 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2022-11-15__hd-us-20221115-call-qna__38112.md,38406,false,true,true,true
Home Depot,HD,2023-02-21,FY 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-02-21__hd-us-20230221-call-pres__38084.md,23744,false,true,true,true
Home Depot,HD,2023-02-21,Q4 2022,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-02-21__hd-us-20230221-call-qna__38098.md,30987,false,true,true,true
Home Depot,HD,2023-03-30,Q1 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-03-30__hd-us-20230330-call-conf-pres__38093.md,1294,false,false,false,true
Home Depot,HD,2023-03-30,FY 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-03-30__hd-us-20230330-call-conf-qna__38109.md,42031,false,true,true,true
Home Depot,HD,2023-05-16,Q1 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-05-16__hd-us-20230516-call-pres__38053.md,20069,false,true,true,true
Home Depot,HD,2023-05-16,Q1 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-05-16__hd-us-20230516-call-qna__38069.md,35186,false,true,true,true
Home Depot,HD,2023-06-13,FY 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-06-13__hd-us-20230613-call-pres__38090.md,109480,false,true,true,true
Home Depot,HD,2023-06-13,FY 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-06-13__hd-us-20230613-call-qna__38110.md,66344,false,true,true,true
Home Depot,HD,2023-08-15,Q2 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-08-15__hd-us-20230815-call-pres__38041.md,19411,false,true,true,true
Home Depot,HD,2023-08-15,Q2 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-08-15__hd-us-20230815-call-qna__38061.md,36284,false,true,true,true
Home Depot,HD,2023-09-13,Q3 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-09-13__hd-us-20230913-call-conf-pres__38072.md,820,false,false,false,true
Home Depot,HD,2023-09-13,FY 2023 and FY 2024 Outlook,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-09-13__hd-us-20230913-call-conf-qna__38088.md,27123,false,true,true,true
Home Depot,HD,2023-11-14,Q3 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-11-14__hd-us-20231114-call-pres__38051.md,19922,false,true,true,true
Home Depot,HD,2023-11-14,Q3 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2023-11-14__hd-us-20231114-call-qna__38070.md,34001,false,true,true,true
Home Depot,HD,2024-02-20,FY 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-02-20__hd-us-20240220-call-pres__38055.md,24910,false,true,true,true
Home Depot,HD,2024-02-20,Q4 2023,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-02-20__hd-us-20240220-call-qna__38074.md,26204,false,true,true,true
Home Depot,HD,2024-03-28,FY 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-03-28__hd-us-20240328-call-pres__38075.md,11252,false,true,true,true
Home Depot,HD,2024-03-28,FY 2024 Outlook,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-03-28__hd-us-20240328-call-qna__38091.md,32019,false,true,true,true
Home Depot,HD,2024-04-04,Q1 2025,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-04-04__hd-us-20240404-call-conf-pres__38057.md,1295,false,false,false,true
Home Depot,HD,2024-04-04,FY 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-04-04__hd-us-20240404-call-conf-qna__38077.md,40774,false,true,true,true
Home Depot,HD,2024-05-14,Q1 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-05-14__hd-us-20240514-call-pres__38045.md,18579,false,true,true,true
Home Depot,HD,2024-05-14,Q1 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-05-14__hd-us-20240514-call-qna__38064.md,33432,false,true,true,true
Home Depot,HD,2024-08-13,Q2 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-08-13__hd-us-20240813-call-pres__38086.md,20909,false,true,true,true
Home Depot,HD,2024-08-13,Q2 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-08-13__hd-us-20240813-call-qna__38106.md,33878,false,true,true,true
Home Depot,HD,2024-09-04,H2 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-09-04__hd-us-20240904-call-conf-pres-3__437764.md,32277,false,true,true,true
Home Depot,HD,2024-11-12,Q3 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-11-12__hd-us-20241112-call-pres-2__38080.md,20501,false,true,true,true
Home Depot,HD,2024-11-12,Q3 2024,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2024-11-12__hd-us-20241112-call-qna__38097.md,31794,false,true,true,true
Home Depot,HD,2025-02-25,"Q4 2024 and FY 2024, Outlook FY 2025",CALL_TRANSCRIPT,call-transcripts,call-transcripts/2025-02-25__hd-us-20250225-call-q4-pres__38092.md,23990,false,true,true,true
Home Depot,HD,2025-02-25,FY 2025,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2025-02-25__hd-us-20250225-call-q4-qna__38111.md,28167,false,true,true,true
