company,ticker,published_at,guidance_period,metric,value_low,value_high,unit,basis,directionality,prior_base_value,quote,source_file
Home Depot,HD,2025-08-19,Q2 2025,comparable_sales_growth_pct,1,,%,reported,approximately,,. •Total sales growth of approximately 2.8% •Comparable sales growth of approximately 1.0% for the comparable 52-week period •Approxima,filings/2025-08-19__hd-us-20250819-q2-8k__143666.md
Home Depot,HD,2025-08-19,Q2 2025,gross_margin_pct,33.4,,%,reported,approximately,,52-week period •Approximately 13 new stores •Gross margin of approximately 33.4% •Operating margin of approximately 13.0% •Ad,filings/2025-08-19__hd-us-20250819-q2-8k__143666.md
Home Depot,HD,2025-08-19,Q2 2025,net_interest_expense_usd_m,2200,,usd_m,reported,approximately,,tely 13.4% •Tax rate of approximately 24.5% •Net interest expense of approximately $2.2 billion •Diluted earnings-per-share to decline appro,filings/2025-08-19__hd-us-20250819-q2-8k__143666.md
Home Depot,HD,2025-08-19,Q2 2025,capex_pct_sales,2.5,,%,reported,approximately,,approximately 2% from $15.24 in fiscal 2024 •Capital expenditures of approximately 2.5% of total sales (1) The Company reports its financial result,filings/2025-08-19__hd-us-20250819-q2-8k__143666.md
Home Depot,HD,2025-08-20,Q2 2025,comparable_sales_growth_pct,1,,%,reported,approximately,,* Total sales growth of approximately 2.8% * Comparable sales growth of approximately 1.0% for the comparable 52-week period * Approxim,filings/2025-08-20__hd-us-20250820-q2-8k__143688.md
Home Depot,HD,2025-08-20,Q2 2025,gross_margin_pct,33.4,,%,reported,approximately,,week period * Approximately 13 new stores * Gross margin of approximately 33.4% * Operating margin of approximately 13.0% *,filings/2025-08-20__hd-us-20250820-q2-8k__143688.md
Home Depot,HD,2025-08-20,Q2 2025,net_interest_expense_usd_m,2200,,usd_m,reported,approximately,,ly 13.4% * Tax rate of approximately 24.5% * Net interest expense of approximately $2.2 billion * Diluted earnings-per-share to decline appr,filings/2025-08-20__hd-us-20250820-q2-8k__143688.md
Home Depot,HD,2025-08-20,Q2 2025,capex_pct_sales,2.5,,%,reported,approximately,,pproximately 2% from $15.24 in fiscal 2024 * Capital expenditures of approximately 2.5% of total sales (1) The Company reports its financial result,filings/2025-08-20__hd-us-20250820-q2-8k__143688.md
Home Depot,HD,2025-11-18,Q3 2025,gross_margin_pct,33.2,,%,reported,approximately,,week period * Approximately 12 new stores * Gross margin of approximately 33.2% (1) The Company reports its financial result,filings/2025-11-18__hd-us-20251118-q3-8k__359994.md
Home Depot,HD,2025-11-18,Q3 2025,net_interest_expense_usd_m,2300,,usd_m,reported,approximately,,3.0% (1) - Tax rate of approximately 24.5% - Net interest expense of approximately $2.3 billion - Diluted earnings-per-share to decline appr,filings/2025-11-18__hd-us-20251118-q3-8k__359994.md
Home Depot,HD,2025-11-18,Q3 2025,capex_pct_sales,2.5,,%,reported,approximately,,mately 5.0% from $15.24 in fiscal 2024 (1) - Capital expenditures of approximately 2.5% of total sales The Home Depot will conduct a conference cal,filings/2025-11-18__hd-us-20251118-q3-8k__359994.md
Home Depot,HD,2026-02-24,Q4 2025,total_sales_growth_pct,2.5,4.5,%,reported,range,,es the following guidance for fiscal 2026: - Total sales growth of approximately 2.5% to 4.5% - Comparable sales growth of approximately f,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,comparable_sales_growth_pct,2,,%,reported,approximately,,sales growth of approximately 2.5% to 4.5% - Comparable sales growth of approximately flat to 2.0% - Approximately 15 new stores - Gross margin,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,gross_margin_pct,33.1,,%,reported,approximately,,flat to 2.0% - Approximately 15 new stores - Gross margin of approximately 33.1% - Operating margin of approximately 12.4% to,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,operating_margin_pct,12.4,12.6,%,reported,range,,ores - Gross margin of approximately 33.1% - Operating margin of approximately 12.4% to 12.6% - Adjusted operating margin of approximately,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,operating_margin_pct,12.8,13,%,reported,range,,n of approximately 12.4% to 12.6% - Adjusted operating margin of approximately 12.8% to 13.0% (1) - Effective tax rate of approximately 24,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,adjusted_operating_margin_pct,12.8,13,%,adjusted,range,,ing margin of approximately 12.4% to 12.6% - Adjusted operating margin of approximately 12.8% to 13.0% (1) - Effective tax rate of approximately 24,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,effective_tax_rate_pct,24.3,,%,reported,approximately,,margin of approximately 12.8% to 13.0% (1) - Effective tax rate of approximately 24.3% - Net interest expense of approximately $2.3,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,net_interest_expense_usd_m,2300,,usd_m,reported,approximately,,Effective tax rate of approximately 24.3% - Net interest expense of approximately $2.3 billion - Diluted earnings-per-share to grow approxi,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-02-24,Q4 2025,capex_pct_sales,2.5,,%,reported,approximately,,lat to 4.0% from $14.69 in fiscal 2025 (1) - Capital expenditures of approximately 2.5% of total sales The Home Depot will conduct a conference cal,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2026-05-19,Q1 2026,total_sales_growth_pct,2.5,4.5,%,reported,range,,company reaffirms its fiscal 2026 guidance: •Total sales growth of approximately 2.5% to 4.5% •Comparable sales growth of approximately fl,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,comparable_sales_growth_pct,2,,%,reported,approximately,,sales growth of approximately 2.5% to 4.5% •Comparable sales growth of approximately flat to 2.0% •Approximately 15 new stores •Gross margin o,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,gross_margin_pct,33.1,,%,reported,approximately,,y flat to 2.0% •Approximately 15 new stores •Gross margin of approximately 33.1% •Operating margin of approximately 12.4% to,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,operating_margin_pct,12.4,12.6,%,reported,range,,stores •Gross margin of approximately 33.1% •Operating margin of approximately 12.4% to 12.6% •Adjustedoperating margin of approximately 1,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,operating_margin_pct,12.8,13,%,reported,range,,gin of approximately 12.4% to 12.6% •Adjustedoperating margin of approximately 12.8% to 13.0% •Effective tax rate of approximately 24.3% •,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,effective_tax_rate_pct,24.3,,%,reported,approximately,,ting margin of approximately 12.8% to 13.0% •Effective tax rate of approximately 24.3% •Net interest expense of approximately $2.3,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,net_interest_expense_usd_m,2300,,usd_m,reported,approximately,,•Effective tax rate of approximately 24.3% •Net interest expense of approximately $2.3 billion •Diluted earnings-per-share to grow approxim,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,capex_pct_sales,2.5,,%,reported,approximately,,ely flat to 4.0% from $14.69 in fiscal 2025 •Capital expenditures of approximately 2.5% of total sales The Home Depot will conduct a conference cal,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,Q1 2026,total_sales_growth_pct,2.5,4.5,%,reported,range,,ompany reaffirms its fiscal 2026 guidance: • Total sales growth of approximately 2.5% to 4.5% • Comparable sales growth of approximately f,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,comparable_sales_growth_pct,2,,%,reported,approximately,,sales growth of approximately 2.5% to 4.5% • Comparable sales growth of approximately flat to 2.0% • Approximately 15 new stores • Gross margin,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,gross_margin_pct,33.1,,%,reported,approximately,,flat to 2.0% • Approximately 15 new stores • Gross margin of approximately 33.1% • Operating margin of approximately 12.4% to,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,operating_margin_pct,12.4,12.6,%,reported,range,,ores • Gross margin of approximately 33.1% • Operating margin of approximately 12.4% to 12.6% • Adjustedoperating margin of approximately,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,operating_margin_pct,12.8,13,%,reported,range,,in of approximately 12.4% to 12.6% • Adjustedoperating margin of approximately 12.8% to 13.0% • Effective tax rate of approximately 24.3%,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,adjusted_operating_margin_pct,12.8,13,%,adjusted,range,,ing margin of approximately 12.4% to 12.6% - Adjusted operating margin of approximately 12.8% to 13.0% (1) - Effective tax rate of approximately 24,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,effective_tax_rate_pct,24.3,,%,reported,approximately,,ing margin of approximately 12.8% to 13.0% • Effective tax rate of approximately 24.3% • Net interest expense of approximately $2.3,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,net_interest_expense_usd_m,2300,,usd_m,reported,approximately,,Effective tax rate of approximately 24.3% • Net interest expense of approximately $2.3 billion • Diluted earnings-per-share to grow approxi,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-05-19,Q1 2026,capex_pct_sales,2.5,,%,reported,approximately,,lat to 4.0% from $14.69 in fiscal 2025 (1) - Capital expenditures of approximately 2.5% of total sales The Home Depot will conduct a conference cal,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
