company,ticker,published_at,period,source_file,question_topic,driver,affected_metric,affected_category,impact_value,impact_unit,impact_direction,time_scope,confidence_hint,quote
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Do you think that had the impact of restraining your sales, and are you able to quantify that during the period?",comparable_sales_total_pct,,,,neutral,current,low,"Do you think that had the impact of restraining your sales, and are you able to quantify that during the period?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"Unknown speaker: We had regions of the country, Michael, where we had product categories that drove comps in excess of 5",comparable_sales_total_pct,pro,50,%,neutral,current,high,"Unknown speaker: We had regions of the country, Michael, where we had product categories that drove comps in excess of 50%."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"You look at the Northern parts of the country, high volume markets, accelerated spike sales.",comparable_sales_total_pct,,,,neutral,current,low,"You look at the Northern parts of the country, high volume markets, accelerated spike sales."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"The supply chain team did yeoman's work, we were very pleased with our ability to get products to the market, in some ca",comparable_sales_total_pct,pro,,,positive,current,low,"The supply chain team did yeoman's work, we were very pleased with our ability to get products to the market, in some cases, before our competition, we feel good about that."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,We think that Mark and his team deserve a ton of credit for helping us to facilitate the sales that we were able to brin,comparable_sales_total_pct,,,,neutral,current,low,We think that Mark and his team deserve a ton of credit for helping us to facilitate the sales that we were able to bring to the table.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,You're seeing some more elevated growth compared to home building.,comparable_sales_total_pct,,,,positive,current,low,You're seeing some more elevated growth compared to home building.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"I'd say what you'd hope to see is pricing improving, credit availability improving, and a lift across both segments.",,pro,,,neutral,current,low,"I'd say what you'd hope to see is pricing improving, credit availability improving, and a lift across both segments."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"I wanted to follow up on an earlier question, then I have one on inventory and cash flow.",,,,,positive,current,low,"I wanted to follow up on an earlier question, then I have one on inventory and cash flow."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"The follow-up is the ticket, which was up to two in the quarter.",,,,,positive,current,low,"The follow-up is the ticket, which was up to two in the quarter."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Does that mean that as we decelerate in the second quarter, that it'll be more ticket, you think?",,,,,neutral,current,low,"Does that mean that as we decelerate in the second quarter, that it'll be more ticket, you think?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: If we look at a ticket above $900, the big drivers in this quarter for that were riding lawn equipment.",,,900,,neutral,current,high,"Unknown speaker: If we look at a ticket above $900, the big drivers in this quarter for that were riding lawn equipment."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: Greg, we had 329 million transactions in the first quarter.",,,329,million,neutral,current,high,"Unknown speaker: Greg, we had 329 million transactions in the first quarter."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"On the cash flow, inventory was down, but payables were up 9%, and your cash balance ended up over $3 billion, which is ",,,9,%,negative,current,high,"On the cash flow, inventory was down, but payables were up 9%, and your cash balance ended up over $3 billion, which is very heavy."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,guidance,"I guess, if I take your guidance, I get your leverage moving down to around 1.8 times debt to EBITDA by the end of the y",,,1.8,times,negative,future,high,"I guess, if I take your guidance, I get your leverage moving down to around 1.8 times debt to EBITDA by the end of the year."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"As you recall, we had a negative comp in April.",comparable_sales_total_pct,,,,negative,current,low,"As you recall, we had a negative comp in April."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: I guess just lastly, do you think the inventory now is at the right level, or are we still a little lig",,,,,positive,current,low,"Unknown speaker: I guess just lastly, do you think the inventory now is at the right level, or are we still a little light given how strong the quarter was?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: If you look at our inventory down $100 million year-on-year, on a per store basis, down a little over 1",,,100,million,negative,future,high,"Unknown speaker: If you look at our inventory down $100 million year-on-year, on a per store basis, down a little over 1%, the majority of the per store decline as of the end of the quarter was in Canada."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"Unknown speaker: I think the other piece of the inventory, Greg, is with the investments we made in our DC F&R programs,",,pro,,,neutral,current,low,"Unknown speaker: I think the other piece of the inventory, Greg, is with the investments we made in our DC F&R programs, we've actually been able to leverage our inventory investment in our DCs while maintaining a good position overall."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Obviously, you've been working on building localization, regionalization of inventory.",,,,,neutral,current,low,"Obviously, you've been working on building localization, regionalization of inventory."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,Can you help us understand how that might have impacted your in-stock and it might have benefited margin above and beyon,gross_margin_pct,,,,positive,current,low,Can you help us understand how that might have impacted your in-stock and it might have benefited margin above and beyond the direct supply chain benefits?
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"We certainly think that that is part of what has helped us drive the overall business and deliver the comp performance, ",comparable_sales_total_pct,,,,neutral,current,low,"We certainly think that that is part of what has helped us drive the overall business and deliver the comp performance, not only in this quarter, but kind of where we've been for the past few quarters."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,I don't think we can overstate the importance of product coming from receiving to the sales floor versus in the overhead,comparable_sales_total_pct,pro,,,neutral,current,low,I don't think we can overstate the importance of product coming from receiving to the sales floor versus in the overhead.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"Within the first quarter, the cadence obviously was driven by better weather in part for the first couple of months.",,,,,positive,current,low,"Within the first quarter, the cadence obviously was driven by better weather in part for the first couple of months."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"You had this presumably a lot of pull forward within the quarter, then this very subdued compare, given the rainy year a",comparable_sales_total_pct,,,,neutral,future,low,"You had this presumably a lot of pull forward within the quarter, then this very subdued compare, given the rainy year ago."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"Finally, Carol, you spoke at the outset of the year about your anticipation for comp cadence over the year as a whole, c",comparable_sales_total_pct,patio,,,neutral,future,low,"Finally, Carol, you spoke at the outset of the year about your anticipation for comp cadence over the year as a whole, clearly, I guess the first quarter, probably, at least in your outlook, is a high watermark."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,guidance,Any update as we think about the ensuing quarters and what kind of cadence you might anticipate as part of that guidance,,,,,positive,current,low,Any update as we think about the ensuing quarters and what kind of cadence you might anticipate as part of that guidance?
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Because of the pull-forward, the second quarter comps should be lower than the first quarter.",comparable_sales_total_pct,,,,neutral,current,low,"Because of the pull-forward, the second quarter comps should be lower than the first quarter."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,The comp for the first half should be higher than the back half.,comparable_sales_total_pct,,,,neutral,current,low,The comp for the first half should be higher than the back half.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,Unknown speaker: I would say the second quarter would be the lowest comping quarter of the year.,comparable_sales_total_pct,,,,neutral,future,low,Unknown speaker: I would say the second quarter would be the lowest comping quarter of the year.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,Unknown speaker: Despite the fourth quarter compare?,comparable_sales_total_pct,,,,neutral,current,low,Unknown speaker: Despite the fourth quarter compare?
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: Despite the fourth quarter compare, because as you know, every year we tend to outperform the previous ",comparable_sales_total_pct,,,,neutral,future,low,"Unknown speaker: Despite the fourth quarter compare, because as you know, every year we tend to outperform the previous year since Craig and the merchants and the operators are doing a masterful job of growing our seasonal business."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"You have been comping the four to six range the last four quarters, and I understand the weather's helped the last two.",comparable_sales_total_pct,,,,neutral,current,low,"You have been comping the four to six range the last four quarters, and I understand the weather's helped the last two."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,housing,"I guess the question is: if we were to get a housing recovery, what kind of comps do you think you guys could generate o",comparable_sales_total_pct,,,,neutral,future,low,"I guess the question is: if we were to get a housing recovery, what kind of comps do you think you guys could generate on, let's call it, a multi-year basis?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,gross_margin,"Just curious in terms of mix, I don't know if you had mentioned this or not, but with the stronger sales of outdoor prod",comparable_sales_total_pct,pro,,,negative,current,low,"Just curious in terms of mix, I don't know if you had mentioned this or not, but with the stronger sales of outdoor products because of the weather, was there a negative impact on the gross margin from mix at all?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,gross_margin,"As we said, the gross margin ex supply chain was flat year-on-year, that really was a mixed story.",gross_margin_pct,,,,positive,future,low,"As we said, the gross margin ex supply chain was flat year-on-year, that really was a mixed story."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Categories like outdoor power equipment, dirt, mulch, all those carry lower than average margins.",gross_margin_pct,power,,,neutral,current,low,"Categories like outdoor power equipment, dirt, mulch, all those carry lower than average margins."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,gross_margin,"Unknown speaker: You may recall last year, Scot, we had 14 basis points of gross margin benefit in the first quarter fro",gross_margin_pct,,14,basis points,neutral,future,high,"Unknown speaker: You may recall last year, Scot, we had 14 basis points of gross margin benefit in the first quarter from mix because we had a lower penetration of seasonal categories then."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Can you quantify that relative to last quarter, where I think you said Florida was ahead of the comp average and Califor",comparable_sales_total_pct,,,,neutral,current,low,"Can you quantify that relative to last quarter, where I think you said Florida was ahead of the comp average and California was about in line?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"This quarter, as you might expect, given just the weather impact, Florida and California were below the company average.",comparable_sales_total_pct,,,,neutral,future,low,"This quarter, as you might expect, given just the weather impact, Florida and California were below the company average."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,Unknown speaker: Particularly the year-over-year comparisons.,comparable_sales_total_pct,,,,neutral,future,low,Unknown speaker: Particularly the year-over-year comparisons.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,Can I talk a little bit about online and private label?,,,,,neutral,current,low,Can I talk a little bit about online and private label?
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Two things I've noticed a lot of recently is, it just seems you've been really expanding online as you've talked about a",,patio,,,neutral,current,low,"Two things I've noticed a lot of recently is, it just seems you've been really expanding online as you've talked about a lot, particularly into the seasonal patio furniture."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: David, let me start with the online.",,,,,neutral,current,low,"Unknown speaker: David, let me start with the online."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"As you know, we've been investing in our online business.",,,,,neutral,current,low,"As you know, we've been investing in our online business."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"We're seeing both sales growth that obviously exceeds the company, and we're seeing traffic growth in that space.",comparable_sales_total_pct,,,,positive,current,low,"We're seeing both sales growth that obviously exceeds the company, and we're seeing traffic growth in that space."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,We are expanding the opportunity that we have to continue to drive value for our customer and be able to deliver strong ,comparable_sales_total_pct,pro,,,positive,current,low,"We are expanding the opportunity that we have to continue to drive value for our customer and be able to deliver strong value propositions, as well as support the overarching strategy that we have in place to compete in all channels."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,gross_margin,"The impact to that on gross margin and then sort of, I guess, the positive impact on the HDX, is that even big enough to",gross_margin_pct,,,,positive,current,low,"The impact to that on gross margin and then sort of, I guess, the positive impact on the HDX, is that even big enough to have any impact at all today?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: We do look at the business in total in terms of how we look at both sales and the contribution margin, ",comparable_sales_total_pct,,,,neutral,current,low,"Unknown speaker: We do look at the business in total in terms of how we look at both sales and the contribution margin, both in store and online, and how those businesses come together."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: Today, our .com sales is about 2% of our total sales.",comparable_sales_total_pct,,2,%,neutral,current,high,"Unknown speaker: Today, our .com sales is about 2% of our total sales."
Home Depot,HD,2012-06-06,Q1 2012,call-transcripts/2012-06-06__hd-us-20120606-call-qna__1534029.md,gross_margin,"The first is, why is 35% the magic number for gross margins long term?",gross_margin_pct,,35,%,neutral,current,high,"The first is, why is 35% the magic number for gross margins long term?"
Home Depot,HD,2012-06-06,Q1 2012,call-transcripts/2012-06-06__hd-us-20120606-call-qna__1534029.md,gross_margin,"In fact, when we showed the 100 basis points of gross margin expansion that we've enjoyed over the past several years, w",gross_margin_pct,,100,basis points,neutral,future,high,"In fact, when we showed the 100 basis points of gross margin expansion that we've enjoyed over the past several years, we actually grew our gross margin 165 basis points."
Home Depot,HD,2012-06-06,Q1 2012,call-transcripts/2012-06-06__hd-us-20120606-call-qna__1534029.md,gross_margin,We collectively have talked about the gross margin.,gross_margin_pct,,,,neutral,current,low,We collectively have talked about the gross margin.
Home Depot,HD,2012-06-06,Q1 2012,call-transcripts/2012-06-06__hd-us-20120606-call-qna__1534029.md,demand,There've been so much changes in terms of driving online.,,,,,neutral,current,low,There've been so much changes in terms of driving online.
