company,ticker,published_at,period,period_type,source_file,division,turnover,net_fees,operating_profit_pre_exceptional,operating_profit_reported,conversion_rate_pct,profit_before_tax,eps_pence,cash_generated_by_operations,net_cash_debt,metric_basis,currency,unit
Hays plc,LSE:HAS,2021-08-26,FY 2021,full_year,filings/2021-08-26__has-ln-20210826-h2-8k-2__671213.md,Group,5648.4,159.9,-1,,24.8,88.1,3.67,130.8,6,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2021-08-26,FY 2021,full_year,filings/2021-08-26__has-ln-20210826-h2-8k__119734.md,Group,5648.4,918.1,,,24.8,88.1,3.67,130.8,410.6,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2021-10-14,Q1 2022,quarter,filings/2021-10-14__has-ln-20211014-q1-8k__119741.md,Group,,30,,,,,,,30,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2022-01-13,Q2 2022,quarter,filings/2022-01-13__has-ln-20220113-q2-8k__119728.md,Group,,31,,,,,,,31,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2022-02-24,H1 2022,half_year,filings/2022-02-24__has-ln-20220224-h1-8k__119746.md,Group,3067,565.3,,,18,97.7,4.08,39.3,43,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2022-04-14,Q3 2022,quarter,filings/2022-04-14__has-ln-20220414-q3-8k__119725.md,Group,,31,,,,,,,31,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2022-07-14,Q4 2022,quarter,filings/2022-07-14__has-ln-20220714-q4-8k__119737.md,Group,,30,,,,,,,30,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2022-08-25,FY 2022,full_year,filings/2022-08-25__has-ln-20220825-h2-8k-2__671215.md,Group,6588.9,1189.4,-2,,26.4,204.3,9.22,182.9,171.7,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2022-08-25,FY 2022,full_year,filings/2022-08-25__has-ln-20220825-h2-8k__119750.md,Group,6588.9,1189.4,,,17.7,204.3,9.22,182.9,171.7,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2022-10-13,Q1 2023,quarter,filings/2022-10-13__has-ln-20221013-q1-8k__119738.md,Group,,30,,,,,,,30,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2023-01-17,Q2 2023,quarter,filings/2023-01-17__has-ln-20230117-q2-8k__119748.md,Group,,31,,,,,,,31,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2023-02-23,H1 2023,half_year,filings/2023-02-23__has-ln-20230223-h1-8k__119736.md,Group,3839.8,651.9,,,14.9,94,4.11,66.4,49,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2023-04-14,Q3 2023,quarter,filings/2023-04-14__has-ln-20230414-q3-8k__119726.md,Group,,31,,,1,,,,31,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2023-07-13,Q4 2023,quarter,filings/2023-07-13__has-ln-20230713-q4-8k__119742.md,Group,,30,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2023-08-24,FY 2023,full_year,filings/2023-08-24__has-ln-20230824-h2-8k-2__671216.md,Group,7583.3,1294.6,-2,,26.2,192.1,8.59,199.3,165.7,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2023-08-24,FY 2023,full_year,filings/2023-08-24__has-ln-20230824-h2-8k__119735.md,Group,7583.3,1294.6,,,15.2,192.1,8.59,199.3,165.7,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2023-10-12,Q1 FY24,quarter,filings/2023-10-12__has-ln-20231012-q1-8k__119723.md,Group,,30,,,,,,,30,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2024-01-09,Q2 FY24,quarter,filings/2024-01-09__has-ln-20240109-q2-8k__119739.md,Group,,31,,,,,,,31,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2024-02-22,H1 2024,half_year,filings/2024-02-22__has-ln-20240222-h1-8k__119744.md,Group,3538.4,583.3,2,,10.3,55.5,2.37,67.3,49.1,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2024-04-16,Q3 2024,quarter,filings/2024-04-16__has-ln-20240416-q3-8k__119732.md,Group,,31,,,,,,,66.9,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2024-07-11,Q4 FY24,quarter,filings/2024-07-11__has-ln-20240711-q4-8k__119729.md,Group,,30,,,,,,,,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2024-08-22,FY 2024,full_year,filings/2024-08-22__has-ln-20240822-h2-8k-2__671217.md,Group,6949.1,351.8,68,,19.3,14.7,60,112.3,95.8,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2024-08-22,FY 2024,full_year,filings/2024-08-22__has-ln-20240822-h2-8k__119721.md,Group,6949.1,1113.6,68,,9.4,94.7,4.03,112.3,95.8,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2024-10-11,Q1 2025,quarter,filings/2024-10-11__has-ln-20241011-q1-8k__119745.md,Group,,30,1,,,,,,,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2025-01-15,Q2 2025,quarter,filings/2025-01-15__has-ln-20250115-q2-8k__119724.md,Group,,31,,,,,,,,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2025-02-20,H1 2025,half_year,filings/2025-02-20__has-ln-20250220-q2-8k__119730.md,Group,3365.4,496,27.5,,5.1,19,0.81,65.5,49.1,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2025-04-16,Q3 2025,quarter,filings/2025-04-16__has-ln-20250416-q3-8k__119733.md,Group,,31,,,,,,,37,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2025-06-19,FY 2025,full_year,filings/2025-06-19__has-ln-20250619-q4-8k__119747.md,Group,,9,25,,,,,,,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2025-08-21,FY 2025,full_year,filings/2025-08-21__has-ln-20250821-filing__143845.md,Group,6607,972.4,52.1,,4.7,32.2,1.31,128.3,109.9,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2025-08-21,FY 2025,full_year,filings/2025-08-21__has-ln-20250821-h2-8k-2__671218.md,Group,6607,308.9,52.1,,16.9,1.5,60,128.3,37,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2025-08-21,FY 2025,full_year,filings/2025-08-21__has-ln-20250821-h2-8k__143890.md,Group,6607,972.4,52.1,,4.7,32.2,1.31,128.3,109.9,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2025-10-10,Q1 2026,quarter,filings/2025-10-10__has-ln-20251010-q1-8k__148167.md,Group,,8,1,,,,,,-30,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2026-01-14,Q2 2026,quarter,filings/2026-01-14__has-ln-20260114-q2-8k__401006.md,Group,,10,,,,,,,-30,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2026-02-27,H1 2026,half_year,filings/2026-02-27__has-ln-20260227-h1-8k__642921.md,Group,3252.5,453.3,20.6,,4.4,13.4,0.46,43.7,43.7,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2026-04-16,Q3 2026,quarter,filings/2026-04-16__has-ln-20260416-filing-2__955810.md,Group,,8,-2,,,,,,-31,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2026-04-16,Q3 2026,quarter,filings/2026-04-16__has-ln-20260416-q3-8k-2__955907.md,Group,,8,-2,,,,,,-31,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2026-06-17,FY 2026,full_year,filings/2026-06-17__has-ln-20260617-filing__1522439.md,Group,,12,,,,,,,,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2026-07-10,Q4 2026,quarter,filings/2026-07-10__has-ln-20260710-filing-2__1572799.md,Group,,5,,,,,,,-31,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2026-07-10,Q4 2026,quarter,filings/2026-07-10__has-ln-20260710-q4-8k__1572805.md,Group,,5,,,,,,,-31,reported,GBP,gbp_millions
